categories_slug,name,description,short_description,sku,price,special_price,special_price_from,special_price_to,inventory_sources,inventories,weight,meta_title,meta_keywords,meta_description,color,size,url_key,tax_category_id,new,featured,visible_individually,status,cost,width,height,depth,type,attribute_family_name,images,guest_checkout,diet,stocklimit
165,"Milk Powder - Full Cream- perKG,لبن بودرة كامل الدسم بالوزن","Milk Powder - Full Cream- perKG,لبن بودرة كامل الدسم بالوزن","Milk Powder - Full Cream- perKG,لبن بودرة كامل الدسم بالوزن",11028,100,,,,"HUR,QEN","100,100",1,,,,,,لبن-بودرة-كامل-الدسم-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11028.png,0,0,0
165,",كنتالوب فريش بالوزن 2",",كنتالوب فريش بالوزن 2",",كنتالوب فريش بالوزن 2",11029,100,,,,"HUR,QEN","100,100",1,,,,,,كنتالوب-فريش-بالوزن-2,,1,0,1,1,100,1,1,1,simple,Default,11029.png,0,0,0
165,"Vanilla Powder- perKG,فانيليا بودرة بالوزن","Vanilla Powder- perKG,فانيليا بودرة بالوزن","Vanilla Powder- perKG,فانيليا بودرة بالوزن",11030,100,,,,"HUR,QEN","100,100",1,,,,,,فانيليا-بودرة-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11030.png,0,0,0
165,"Red Sesame- perKG,سمسم احمر بالوزن","Red Sesame- perKG,سمسم احمر بالوزن","Red Sesame- perKG,سمسم احمر بالوزن",11031,100,,,,"HUR,QEN","100,100",1,,,,,,سمسم-احمر-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11031.png,0,0,0
165,"Traditional Cookies Flavour- perKG,ريحة كحك بالوزن","Traditional Cookies Flavour- perKG,ريحة كحك بالوزن","Traditional Cookies Flavour- perKG,ريحة كحك بالوزن",11032,100,,,,"HUR,QEN","100,100",1,,,,,,ريحة-كحك-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11032.png,0,0,0
165,"Raw Cacao- perKG,كاكاو خام فاتح بالوزن","Raw Cacao- perKG,كاكاو خام فاتح بالوزن","Raw Cacao- perKG,كاكاو خام فاتح بالوزن",11033,100,,,,"HUR,QEN","100,100",1,,,,,,كاكاو-خام-فاتح-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11033.png,0,0,0
165,",برتقال بالوزن 2",",برتقال بالوزن 2",",برتقال بالوزن 2",11034,100,,,,"HUR,QEN","100,100",1,,,,,,برتقال-بالوزن-2,,1,0,1,1,100,1,1,1,simple,Default,11034.png,0,0,0
165,",كونو ايس كريم بالوزن",",كونو ايس كريم بالوزن",",كونو ايس كريم بالوزن",11035,100,,,,"HUR,QEN","100,100",1,,,,,,كونو-ايس-كريم-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11035.png,0,0,0
165,",ستارباكس قهوة وسط حبوب كاملة 200جم",",ستارباكس قهوة وسط حبوب كاملة 200جم",",ستارباكس قهوة وسط حبوب كاملة 200جم",11036,100,,,,"HUR,QEN","100,100",1,,,,,,ستارباكس-قهوة-وسط-حبوب-كاملة-200جم,,1,0,1,1,100,1,1,1,simple,Default,11036.png,0,0,0
165,",دقيق سميد 1 كجم توريد",",دقيق سميد 1 كجم توريد",",دقيق سميد 1 كجم توريد",11037,100,,,,"HUR,QEN","100,100",1,,,,,,دقيق-سميد-1-كجم-توريد,,1,0,1,1,100,1,1,1,simple,Default,11037.png,0,0,0
